caption	answer	add_caption	c1_variable	c1_comp	c1_condition	c2_variable	c2_comp	c2_condition	c3_variable	c3_comp	c3_condition
the schools of magic	The six schools of magic are Alteration, Destruction, Illusion, Mysticism, Restoration, and Thaumaturgy.	Alteration,Destruction,Illusion,Mysticism,Restoration,Thaumaturgy	Building Name	==	the Mages Guild	NoLore	==	2			
Alteration	Spells of Alteration change the world around the caster so normal physical truths no longer hold.|Alteration concerns itself with magicka's ability to change, often radically, the structure and composition of any object. Unlike the school of Illusion, Alteration deals with actual change, not the appearance of it.|Slowfalling and Shield are two classic spells of the school of Alteration.|It is easy to confuse Illusion and Alteration. Both schools of magic attempt to create what is not there. The difference is in the rules of nature. Illusion is not bound by them, while Alteration is. This may seem to indicate that Alteration is the weaker of the two, but this is not true. Alteration creates a reality that is recognized by everyone. Illusion's reality is only in the mind of the caster and the target.		Building Name	==	the Mages Guild	NoLore	==	2			
Destruction	The school of Destruction is concerned with dealing damage to all forms of matter, both living and non-living, and with making matter more vulnerable to such damage. Mastery of Destruction magic involves a certain amount of danger.|The school of Destruction is concerned with the purely destructive capabilities of magicka, evident in spells like Fireball and Ice Storm.		Building Name	==	the Mages Guild	NoLore	==	2			
Illusion	Illusion spells can change a target's visibility, or produce or remove light.|The school of Illusion works with magicka in its capacity to camouflage, illuminate, or obscure without changing an object's structure.|Invisibility and Light are two of the most basic spells of Illusion.		Building Name	==	the Mages Guild	NoLore	==	2			
Mysticism	The art of Mysticism allows a mage to alter the nature of magic itself and involves the manipulation of magical forces and boundaries to bypass the structures and limitations of the physical world.|The school of Mysticism experiments with the most arcane aspects of magicka. Its practitioners have expanded arcane “accidents" into a useful if eclectic range of spells.|Because the forces being manipulated by Mysticism are dangerous and unknown, the spell effects are purposefully specific. This is evident in spells like Far Silence and Soul Trap.		Building Name	==	the Mages Guild	NoLore	==	2			
Restoration	Restoration spells heal, restore, and fortify the body's attributes and abilities, cure disease, and protect it from other malign influences.|The primary spells of the school of Restoration heal wounds, cure disease, and restore lost vitality. They can also augment strength, endurance, intelligence, agility, and other bodily attributes.|The school of Restoration is devoted to the salubrious and soothing powers of magicka, evident in spells like Cure Poison and Troll's Blood.		Building Name	==	the Mages Guild	NoLore	==	2			
Thaumaturgy	Thaumaturges can perform acts which can only be achieved through brute force in other schools of magic, such as levitation (which is said to involve the personal rejection of gravity), etherealness, detection, pacification, water walking, teleportation, summoning and the manipulation of other magical forces.|The school of Thaumaturgy concentrates on exposing or manipulating known forces and objects within their natural laws.		Building Name	==	the Mages Guild	NoLore	==	2			
services	Anyone can purchase spells here or have enchanted items identified. Mages Guild members in good standing can get training in the schools of magic, access the library, buy soul gems, and create their own magic items or spells. Higher-ups get the privilege of summoning Daedric Princes or using teleportation services to get around faster. But if you want to join, you'd better be decent in at least one school of magic.	services, the schools of magic, soul gems, teleportation, Daedric Princes	Building Name	==	the Mages Guild	NoLore	==	2			
Who are you?	I am @Name@, an Academic of the Mages Guild. I offer spells for sale to both Guild members and non-members.		Building Name	==	the Mages Guild	NoLore	==	2	Faction ID	==	60
Who are you?	I am @Name@, a Patrician of the Mages Guild. I offer Guild members training in a wide variety of disciplines, including Destruction, Mysticism, and even rare languages like Orcish and Harpy.		Building Name	==	the Mages Guild	NoLore	==	2	Faction ID	==	61
Who are you?	I am @Name@, the representative of the Travelers League here in @Location Name@. I offer teleportation services to high ranking members of the Mages Guild.	services, teleportation, Travelers League	Building Name	==	the Mages Guild	NoLore	==	2	Faction ID	==	62
teleportation	Any member of Master Wizard rank or above may use my teleportation service. It’s free and will take you anywhere you’ve marked on your map. But remember, it’s a one-way trip. No coming back unless you’ve got a Teleportation spell anchored at the Guild.	Travelers League	Building Name	==	the Mages Guild	NoLore	==	2	Faction ID	==	62
Who are you?	I am @Name@, a Mercenary Mage of the Mages Guild.		Building Name	==	the Mages Guild	NoLore	==	2	Faction ID	==	63
Who are you?	I am @Name@, an Isolationist of the Mages Guild. I can help you devise original spells. This service is for members only, and the cost is based on the complexity of the spell you create.		Building Name	==	the Mages Guild	NoLore	==	2	Faction ID	==	64
Who are you?	I am @Name@, a Utility Mage of the Mages Guild. I deal in magical items and soul gems. You’ll need to be of a high enough rank to trade in such dangerous materials.	soul gems	Building Name	==	the Mages Guild	NoLore	==	2	Faction ID	==	65
soul gems	Soul gems are gemstones to which creatures' souls are bound using magic, usually by trapping them at their moment of death. These gems can be used to enchant and charge magical items, animate undead or artificial constructs, or cast powerful destructive spells. I occasionally sell soul gems that are already filled, but most of them will be empty. You'll need a "soul trap" spell to fill them.		Building Name	==	the Mages Guild	NoLore	==	2	Faction ID	==	65
Who are you?	I am @Name@, the representative of the Cabal here in @Location Name@. If you need to speak with one of the Daedric Princes, and you’re in good standing with us, I can make an introduction… for a price, of course.	the Cabal, Daedric Princes	Building Name	==	the Mages Guild	NoLore	==	2	Faction ID	==	66
Daedric Princes	Daedric Princes are the most powerful of the Daedra, and commonly worshiped as gods.|There are fifteen powerful Daedric Princes known to mortals: Azura, Boethiah, Clavicus Vile, Hermaeus Mora, Malacath, Mehrunes Dagon, Mephala, Meridia, Molag Bal, Namira, Nocturnal, Peryite, Sanguine, Sheogorath, and Vaermina.|The scientific consensus is that there are fifteen Daedric Princes. Though some scholars, like  Morian Zenas, think there are more.|Each Daedric Prince is said to have their own plane of Oblivion, over which they have control.|The Daedric Princes seem to view Men and Mer as little more than minor amusements. They do not know the mortal sense of "good" and "evil", and veer readily from one to the other, which is why Men and Mer fear them greatly.|Although the Daedric Princes are considered evil by most, they are widely worshiped in the realms of Tamriel. Elaborate shrines are created to honor the Daedra as gods.		NoLore	==	2	Faction ID	==	66|456|470|475|482|488|492|498			
Who are you?	I am @Name@, an Odylic Mage of the Mages Guild. For a small fee, I can identify the enchantments on any magical item. My services are available to everyone, even non-Guild members.	services	Building Name	==	the Mages Guild	NoLore	==	2	Faction ID	==	801
Who are you?	I am @Name@, a Crafter of the Mages Guild. I handle the creation of enchanted items. My services are exclusively available to those with the proper rank.	services	Building Name	==	the Mages Guild	NoLore	==	2	Faction ID	==	802
Who are you?	I am @Name@, Guildmagister of the Mages Guild in @Location Name@.		Building Name	==	the Mages Guild	NoLore	==	2	Faction ID	==	69
the Mages Guild	The Mages Guild is the official center of magical study in Tamriel. Most major towns have a bureau of the Guild where they sell spells and magical items, in addition to their studies.|The Mages Guild is sorta a school for studying spells. You have to already be pretty decent to get in, but even non-members can use some of their services.|The Mages Guild is pretty much what the name suggests. It's an organization for all varieties of spellcasters to get together and teach each other. Used to be that mages were solitary types. No longer.|It's just what you think it is. A school and a club for mages who are already pretty good to make them even better. It's been around for, oh, at least a thousand years.										
the Thieves Guild	What do you want to know 'bout the guild, eh? Nothing much to say. We don't rob members and we rob everyone else blind, heh!|It's grand being a member of the guild, far better than being a freelancer. First, you won't get your knees smashed. Second, you'll learn lots of tricks from master thieves.|You want to do something? Pimping, smuggling, robbery, burglary, we do everything but murder. It's bad for business.|Of course the watch knows we exist. But we pay the nobles good money to be left alone.|If you're a member of the Guild I'll watch your back. And I know you'll watch mine. It's us against the world, eh?		Building Name	==	the Thieves Guild	Faction Social Group	==	4	NoLore	==	2
Who are you?	I’m @Name@, a Shadow Appraiser of the Thieves Guild. I’m a fence, is what that is. If you’ve got a hot item, especially a magic item, I can make it disappear.		Building Name	==	the Thieves Guild	NoLore	==	2	Faction ID	==	805
Who are you?	I’m @Name@, a Shadow Schemer of the Thieves Guild. I pass out the officially sanctioned jobs around here.		Building Name	==	the Thieves Guild	NoLore	==	2	Faction ID	==	804
Who are you?	I’m @Name@, a Shadow Trainer of the Thieves Guild. I can teach you how to pick a lock, sneak up on a mark, and a million other little tricks of the trade.		Building Name	==	the Thieves Guild	NoLore	==	2	Faction ID	==	803
Who are you?	I’m @Name@, a Shadow Spy of the Thieves Guild. I keep my ears open and pass on all the juicy little secrets to my fellow Guildsmen and women.		Building Name	==	the Thieves Guild	NoLore	==	2	Faction ID	==	806
the Thieves Guild	The Thieves Guild is the official organized collection of burglars, prostitutes, and other thugs in the area. Their headquarters is always secret.|Even though freelance whoremasters, pickpockets, catburglars, swindlers, and muggers exist, most professional criminals in Tamriel belong to the Thieves Guild. It is best for the collective whole, and the Guild exerts a certain ... pressure to join.|In practically every borough, hamlet, and city-state in Tamriel, the professional criminals have bounded together for mutual protection. That's the Thieves Guild for you.|The Thieves Guild is just like any other guild -- it's just that their particular industry is crime. They offer special benefits to their members, bribe officials, and punish non-members. Just like any other guild.										
the Dark Brotherhood	The Dark Brotherhood has always been led by the Night Mother. She is the patroness of our order and the most zealous servant of Mephala, the Lady of Whispers.|We do not murder because we like it. We murder because Mephala commands it. The fact that we like it is just a bonus, heh.|The Dark Brotherhood has existed for millenia. We have slain peasants and emperors alike. All are equal in death, and their deaths equally sweet to Mephala.|Do not fail. Killing our targets is a sacred duty. When Mephala demands a soul, She ought to have it, one way or another.|The Brotherhood provides services to its members. Everything you might need to accomplish your duty, the Brotherhood will give you.	Night Mother,Mephala|Mephala|Mephala|Mephala|services	Faction Guild Group	==	3	NoLore	==	2			
the Dark Brotherhood	The Dark Brotherhood is a very mysterious organization, often hired as assassins by the more pragmatic rulers. They have a reputation as maniacs and daedra worshippers, but they must be doing something right. They've been around for thousands of years.|A bunch of assassins posing as a religious order. They're more or less the official Assassin's Guild of Tamriel. Most kingdoms have declared them to be an illegal organization, but it's one thing to make a declaration ...|They're sorta a religious group, but not like a temple. Imagine a bunch of priests with knives and blood on the mind.										
services	The Brotherhood offers to its faithful members training in the art of assassination, access to its potion makers and potion sellers, a fine selection of soul gems, and intelligence gathered by its spymasters.	training,potion maker|potion seller|soul gems|Spymaster	Building Name	==	the Dark Brotherhood	NoLore	==	2			
Who are you?	I am @Name@, a Dark Mixer of the Brotherhood. I am a potion maker for those who serve Mephala’s will.	potion maker, Mephala	Building Name	==	the Dark Brotherhood	NoLore	==	2	Faction ID	==	840
potion maker	Just put the ingredients you want to mix in the cauldron. I'll tell you if the mixture results in an usable potion. If you have recipes, you might want to use them instead of doing any guesswork.		Building Name	==	the Dark Brotherhood	NoLore	==	2	Faction ID	==	840
Who are you?	I am @Name@, a Venom Master of the Brotherhood. If crafting your own potions is too much of a hassle for you, I can sell you some... for a fitting price.		Building Name	==	the Dark Brotherhood	NoLore	==	2	Faction ID	==	841
Who are you?	I am @Name@, a Dark Binder of the Brotherhood. I can sell you soul gems that can be used for enchanting.	soul gems	Building Name	==	the Dark Brotherhood	NoLore	==	2	Faction ID	==	843
soul gems	Soul gems are gemstones to which creatures' souls are bound using magic, usually by trapping them at their moment of death. These gems can be used to enchant and charge magical items, animate undead or artificial constructs, or cast powerful destructive spells. I occasionally sell soul gems that are already filled, but most of them will be empty. You'll need a "soul trap" spell to fill them.		Building Name	==	the Dark Brotherhood	NoLore	==	2	Faction ID	==	843
Who are you?	I am @Name@, a Dark Plotter of the Brotherhood. I am an expert at collecting information. You can trust me… Any rumors I tell you will always be true.		Building Name	==	the Dark Brotherhood	NoLore	==	2	Faction ID	==	842
Who are you?	I am @Name@, a Dark Trainer of the Brotherhood. I can train you in any skill favored by Mephala: Archery, Backstabbing, Climbing, Critical Strike, Daedric, Destruction, Dodging, Running, Short Blade, Stealth, Streetwise, and Swimming.	Mephala	Building Name	==	the Dark Brotherhood	NoLore	==	2	Faction ID	==	839
Mephala	Mephala is the Daedric Prince of murder, lies, deception, sex, and secrets.|The Webspinner deals in secrets and hidden lore. She value secrets and mysteries above all else.|The Spider takes great pleasure in strife. A ruined marriage, two peaceful factions erupting into bloody warfare over falsified evidence of treachery… She finds all of these amusing.|Mephala interferes in the affairs of mortals for her own amusement, and does nothing without purpose.|Those who serve the Queen of the Eight Shadows of Murder may find her whispering forbidden secrets in their ears. 		Building Name	==	the Dark Brotherhood	NoLore	==	2			
witches	Head north from here a long, long ways, past the mesa, past the ruins. Do not veer to the left or to the right.		MapID	==	182945791						
witches	Witches? Best not to seek them out, %ra. They're trouble, mark my words.|Keep away from the witches; they'll curse you as soon as look at you, and your livestock too.|They say witches can steal your soul with just a glance. Why would you want to find one?|I'd rather not talk about witches. Just the mention of them brings bad luck.|Witches are best left alone. They have powers that are not meant for mortal men to meddle with.|Witches are servants of darkness. You’d do well to keep your distance.|Seeking witches? Are you mad? They'll turn you into a toad or worse.|Be wary of witches. They'll trick you with illusions and then trap your soul.|Those who seek out witches often find themselves part of the brew in their cauldrons.|Finding witches is bad luck. Talking about them is little better. Let's speak of something else.		Random Number (NPC)	>	10	Region Index	==	41|42|16|60|17|38|33|34|55|1|11|46|0			
Bretons	Bretons really care about their family trees. Noble families in High Rock can trace their lines way back, always bragging about their old rights and fancy titles.|Us Bretons are all about magic and getting tangled up in little feuds.|Bretons descend from the Druids of Galen, so we're pretty good with magic.|We Bretons are clever, maybe a little too much for our own good.		Region Index	==	21|19|36|41|17|5|57|18|59|60|9|37|35|33|32|38|42|58|39|23|16|40	Faction Social Group	==	1|4			
Bretons	The Bretons of High Rock place a high value on heritage and lineage. Noble families can trace their ancestries back many generations, each keen to emphasize their ancient rights and privileges.|We Bretons are known for our proficiency in magic and our tangled courtly intrigues.|Our race is descended from the ancient Druids of Galen, and we are quick witted and strong in the mystical arts.| We Breton folk are crafty and intelligent, a learned people who use our gifts to guide others to enlightenment.		Region Index	==	21|19|36|41|17|5|57|18|59|60|9|37|35|33|32|38|42|58|39|23|16|40						
Redguards	Redguards came from Yokuda before settling in Hammerfell. We're known all over for being top fighters and holding strong to our traditions of honor.| We're the top fighters in Tamriel. Our sword-singing isn't just fighting; it's a mix of fighting skills and deep spiritual practice.| When it comes to gods, Redguards aren't typical. We focus more on respecting our ancestors than worshipping Divines. It's all about living a life that respects our past.| For us, being good with a sword isn't just about fighting; it's part of who we are. Every Redguard kid grows up knowing this.	Yokuda|sword-singing|-|	Region Index	==	43|0|55|47|56|61|11|1|53|44|49|22|52|46|45|54|50|20|48|51	Faction Social Group	==	1|4			
Redguards	Redguards hail from the lost continent of Yokuda and now thrive in Hammerfell. We're renowned across Tamriel for our unmatched combat prowess and our traditions steeped in honor and valor.| As the fiercest warriors in Tamriel, our martial arts include the ancient and mystical art of sword-singing, which is a unique blend of combat and spiritual discipline.| The Redguard approach to religion focuses less on the worship of gods and more on ancestor veneration. We believe in living a life that honors the spirit and sacrifice of our forebears.| Swordsmanship is more than skill; it is an art form vital to our identity. Every Redguard child grows up learning the way of the sword, which symbolizes our commitment to defending our principles and our people.	Yokuda|sword-singing|-|	Region Index	==	43|0|55|47|56|61|11|1|53|44|49|22|52|46|45|54|50|20|48|51						
Hammerfell	Hammerfell? Yeah, it's mostly desert and rocks, but we got some nice spots by the Illiac Bay and Sea of Pearls.|Redguards live in Hammerfall. We're all about honor and keeping the old ways alive.	-|Redguards	Region Index	==	43|0|55|47|56|61|11|1|53|44|49|22|52|46|45|54|50|20|48|51	Faction Social Group	==	1|4			
Hammerfell	Hammerfell is a vast region, predominantly arid with rocky stretches and some fertile coasts along the Iliac Bay and the Sea of Pearls.|Hammerfell is home to the Redguards, a race of proud warriors with a deep respect for honor and tradition.	-|Redguards	Region Index	==	43|0|55|47|56|61|11|1|53|44|49|22|52|46|45|54|50|20|48|51						
High Rock	High Rock's got it all—rocky beaches, thick woods, even giant mountains.|Magic's a big deal in High Rock, with fancy magic schools all over that draw in spellcasters from every corner of Tamriel.| Politics in High Rock is like a game, with all these little Breton kingdoms and city-states playing friends one day, enemies the next.	-|-|Bretons	Region Index	==	21|19|36|41|17|5|57|18|59|60|9|37|35|33|32|38|42|58|39|23|16|40	Faction Social Group	==	1|4			
High Rock	High Rock, home of the Bretons, is a province known for its diverse landscape, from rugged coastlines and dense forests to towering mountains.| High Rock is famous for its magical heritage, with many of High Rock's cities boasting prestigious schools of magic that attract mages from across Tamriel.| High Rock's political landscape is a tapestry of petty Breton kingdoms and city-states, often engaged in alliances and rivalries.	Bretons|-|Bretons	Region Index	==	21|19|36|41|17|5|57|18|59|60|9|37|35|33|32|38|42|58|39|23|16|40						
Akatosh	Akatosh is the Dragon God of Time, the most powerful of all gods. He ensures the stability of time itself.|Akatosh is the firstborn of the gods and is revered for His role in creating and upholding the natural order of the universe.|In times of strife, Akatosh intervenes to prevent chaos from overtaking the realms of men.|The Akatosh Chantry teaches that Akatosh made a covenant with the people of Tamriel, promising stability and a lineage of kings.|Every major event in history is part of Akatosh's grand design. The Akatosh Chantry interprets signs and omens in His name.|Akatosh is revered as the god of time, overseeing all beginnings and endings. It’s said that Akatosh’s gaze keeps the flow of time orderly and linear.	-|-|-|the Akatosh Chantry|the Akatosh Chantry|-	Building Name	==	The Order of the Hour|The Akatosh Chantry	NoLore	==	2			
Akatosh	Akatosh is the Dragon God of Time, the most powerful of all gods. He ensures the stability of time itself.|Akatosh is the firstborn of the gods and is revered for His role in creating and upholding the natural order of the universe.|In times of strife, Akatosh intervenes to prevent chaos from overtaking the realms of men.|The Akatosh Chantry teaches that Akatosh made a covenant with the people of Tamriel, promising stability and a lineage of kings.|Every major event in history is part of Akatosh's grand design. The Akatosh Chantry interprets signs and omens in His name.|Akatosh is revered as the god of time, overseeing all beginnings and endings. It’s said that Akatosh’s gaze keeps the flow of time orderly and linear.	-|-|-|the Akatosh Chantry|the Akatosh Chantry|-	Region Index	==	9|23|56						
Arkay	Arkay is the god of life and death, a guardian of the mortal passage. We pray to Him for protection against untimely death and to honor the departed. | Arkay ensures the balance of life and death is kept. In our darkest moments, we seek His guidance to accept fate with grace. | He's the god who watches over the cycle of birth and death. Where life meets end, Arkay's there to see us through.|It's a common belief that Arkay's blessing can shield the living from necromancy and the unholy disturbance of the dead.|According to Arkay's Law, if you're buried properly by the priests of the Order of Arkay, no dark sorcery can raise your body or steal your soul.|Arkay was once a man like us, fascinated by a book so powerful, it revealed the cycle of life and death. Mara offered Him godhood to keep the balance.	-|-|-|-|the Order of Arkay|-|Mara	Region Index	==	21|19|36|41|17|5|57|18|59|60|9|37|35|33|32|38|42|58|39|23|16|40	Building Name	==	the Order of Arkay	NoLore	==	2
Arkay	Arkay is the god of life and death, a guardian of the mortal passage. We pray to Him for protection against untimely death and to honor the departed. | Arkay ensures the balance of life and death is kept. In our darkest moments, we seek His guidance to accept fate with grace. | He's the god who watches over the cycle of birth and death. Where life meets end, Arkay's there to see us through.|It's a common belief that Arkay's blessing can shield the living from necromancy and the unholy disturbance of the dead.|According to Arkay's Law, if you're buried properly by the priests of the Order of Arkay, no dark sorcery can raise your body or steal your soul.|Arkay was once a man like us, fascinated by a book so powerful, it revealed the cycle of life and death. Mara offered Him godhood to keep the balance.	-|-|-|-|the Order of Arkay|-|Mara	Region Index	==	26|42						
Arkay	Arkay is the god of life and death, a guardian of the mortal passage. We pray to Him for protection against untimely death and to honor the departed. | Arkay ensures the balance of life and death is kept. In our darkest moments, we seek His guidance to accept fate with grace. | He's the god who watches over the cycle of birth and death. Where life meets end, Arkay's there to see us through.|It's a common belief that Arkay's blessing can shield the living from necromancy and the unholy disturbance of the dead.|According to Arkay's Law, if you're buried properly by the priests of the Order of Arkay, no dark sorcery can raise your body or steal your soul.|Worship of Arkay is widespread here in Hammerfell. Redguards see Him as a shepherd for souls, making sure they move safe between this life and the next.	-|-|-|-|the Order of Arkay|-|Redguards,Hammerfell	Region Index	==	43|0|55|47|56|61|11|1|53|44|49|22|52|46|45|54|50|20|48|51	Building Name	==	the Order of Arkay	NoLore	==	2
Arkay	Arkay is the god of life and death, a guardian of the mortal passage. We pray to Him for protection against untimely death and to honor the departed. | Arkay ensures the balance of life and death is kept. In our darkest moments, we seek His guidance to accept fate with grace. | He's the god who watches over the cycle of birth and death. Where life meets end, Arkay's there to see us through.|It's a common belief that Arkay's blessing can shield the living from necromancy and the unholy disturbance of the dead.|According to Arkay's Law, if you're buried properly by the priests of the Order of Arkay, no dark sorcery can raise your body or steal your soul.|Worship of Arkay is widespread here in Hammerfell. Redguards see Him as a shepherd for souls, making sure they move safe between this life and the next.	-|-|-|-|the Order of Arkay|-|Redguards,Hammerfell	Region Index	==	1|20						
Dibella	Dibella blesses those who love purely, without selfishness or greed.|In Dibella’s eyes, love is an art, and we are all artists.|Dibella's followers seek the joy of beauty, love, and music in all things.|The Lady of Love commands us to open our hearts to the mysteries of affection.|Beauty, Dibella says, is the highest form of truth.|Her temples, called Houses of Dibella, are filled with artists, musicians, and poets, all seeking to honor her.|To honor Dibella, some worshippers don porcelain masks and offer their love anonymously.|Dibella discourages ties with the undead. Love cannot grow in an impure spirit.|Dibella’s love is not limited to one. She embraces the beauty of many.|Dibella’s gifts are not just for lovers, but for artists and musicians as well.|White cats are sacred to Dibella. You’ll often find them in her temples, the Houses of Dibella.		Building Name	==	the House of Dibella	NoLore	==	2			
Dibella	Dibella blesses those who love purely, without selfishness or greed.|In Dibella’s eyes, love is an art, and we are all artists.|Dibella's followers seek the joy of beauty, love, and music in all things.|The Lady of Love commands us to open our hearts to the mysteries of affection.|Beauty, Dibella says, is the highest form of truth.|Her temples, called Houses of Dibella, are filled with artists, musicians, and poets, all seeking to honor her.|To honor Dibella, some worshippers don porcelain masks and offer their love anonymously.|Dibella discourages ties with the undead. Love cannot grow in an impure spirit.|Dibella’s love is not limited to one. She embraces the beauty of many.|Dibella’s gifts are not just for lovers, but for artists and musicians as well.|White cats are sacred to Dibella. You’ll often find them in her temples, the Houses of Dibella.	-|-|-|-|-|the House of Dibella|-|-|-|-|the House of Dibella	Region Index	==	35|33|45|48						
Julianos	Julianos is for the thinkers, the bookish types. Pray to him when you need a clear head and fair judgment.|Those who are serious about learning and lawyering honor Julianos. His Schools teach what's true and what's not.|You want to talk about laws and history? That's Julianos' field. His Schools will drill it into you until it sticks.	-|the School of Julianos|the School of Julianos	Region Index	==	43|22|58|41|5|50	Faction Social Group	==	1|4			
Julianos	Julianos is the god of wisdom and logic. He favors scholars and mages, those who seek knowledge over power. In these parts, people pray to Him for clear thinking and fair judgment.| Many followers of Julianos are scholars, lawyers, and scribes. Libraries and universities often dedicate rooms or entire buildings to Him. His temples are themselves called Schools of Julianos.| Worship of Julianos is about the pursuit of truth and understanding. The Schools of Julianos teach about the law, history, and the structure of the world.	-|the School of Julianos|the School of Julianos	Building Name	==	the School of Julianos	NoLore	==	2			
